Hour of day	Day	Device	Campaign state	Campaign	Budget	Status	Campaign Type	Campaign sub-type	Clicks	Impressions	CTR	Avg. CPC	Cost	Avg. position	Converted clicks	Cost / converted click	Click conversion rate	View-through Conv.	Search Impr. share	Search Lost IS (rank)	Search Lost IS (budget)	Content Impr. share	Content Lost IS (rank)	Content Lost IS (budget)							
18	3/28/2015	Computers	Enabled	Vauxhall	10	campaign budget constrained	Search Only	All features	0	0	0.00%	0	0	0	0	0	0.00%	0	< 10%	0.00%	> 90%	 --	 --	 --							
22	2/12/2015	Computers	Enabled	Generic Car Leasing	40	eligible	Search Only	All features	0	0	0.00%	0	0	0	0	0	0.00%	0	< 10%	0.00%	> 90%	 --	 --	 --							
2	3/9/2015	Computers	Enabled	Generic Car Leasing	40	eligible	Search Only	All features	0	14	0.00%	0	0	3.9	0	0	0.00%	0	18.42%	50.00%	31.58%	 --	 --	 --							
23	3/11/2015	Tablets with full browsers	Enabled	Generic Car Leasing	40	eligible	Search Only	All features	5	109	4.59%	0.33	1.67	3.8	0	0	0.00%	0	27.53%	66.92%	5.56%	 --	 --	 --							
18	2/15/2015	Tablets with full browsers	Enabled	Generic Car Leasing	40	eligible	Search Only	All features	1	1	100.00%	0.89	0.89	1	0	0	0.00%	0	< 10%	0.00%	> 90%	 --	 --	 --							
22	1/28/2015	Tablets with full browsers	Enabled	Generic Car Leasing	40	eligible	Search Only	All features	0	0	0.00%	0	0	0	0	0	0.00%	0	< 10%	0.00%	> 90%	 --	 --	 --							
9	1/23/2015	Mobile devices with full browsers	Enabled	Generic Car Leasing	40	eligible	Search Only	All features	2	17	11.76%	0.67	1.34	2	0	0	0.00%	0	62.96%	11.11%	25.93%	 --	 --	 --							
19	2/5/2015	Mobile devices with full browsers	Enabled	Bad Credit Leasing	100	campaign budget constrained	Search Only	All features	2	16	12.50%	0.62	1.25	3.2	0	0	0.00%	0	< 10%	> 90%	0.00%	 --	 --	 --							
3	3/20/2015	Computers	Enabled	Bad Credit Leasing	100	campaign budget constrained	Search Only	All features	2	2	100.00%	1.03	2.06	2.5	0	0	0.00%	0	40.00%	60.00%	0.00%	 --	 --	 --							
23	2/16/2015	Tablets with full browsers	Enabled	Bad Credit Leasing	100	campaign budget constrained	Search Only	All features	0	8	0.00%	0	0	3	0	0	0.00%	0	29.63%	70.37%	0.00%	 --	 --	 --							
