Keyword state	Keyword	Campaign	Ad group	Status	Max. CPC	Match Type	Clicks	Impressions	CTR	Avg. CPC	Cost	Avg. position	Quality score	Converted clicks	Cost / converted click	Click conversion rate	Click Assisted Conv.	Impr. Assisted Conv.	Search Impr. share	Search Exact match IS	Search Lost IS (rank)
paused	compare vehicle leasing	Generic Vehicle Leasing	Vehicle Leasing	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
paused	uk car leasing deals	Hippo Leasing	Hippo Leasing (Generic)	paused	0.98	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
enabled	aston martin lease	Astin Martin	Aston Martin Vantage	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
paused	"""cheap vehicle leasing"""	Generic Vehicle Leasing	Vehicle Leasing	campaign paused	0.89	Phrase	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
paused	business car lease	Generic Car Leasing	Car leasing	paused	auto: 0.89	Broad	0	0	0.00%	0	0	0	8	0	0	0.00%	0	0	 --	 --	 --
enabled	"""audi a3 lease"""	Audi	Audi A3	eligible	0.99	Phrase	236	4203	5.62%	0.81	190.08	3.6	7	2	95.04	0.85%	2	2	84.28%	83.58%	9.10%
paused	cheap car lease deals no deposit	No Deposit Deals	No Deposit Deals	paused	0.99	Broad	78	368	21.20%	0.79	61.44	1.8	8	1	61.44	1.28%	3	1	77.31%	85.71%	1.68%
paused	leasing under 1 hundred	Chevrolet	Cherolet Spark	campaign paused	0.59	Broad	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
paused	new range rover	Range Rover	Range Rover Sport	campaign paused	0.5	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
paused	car leasing offers	Generic Vehicle Leasing	Vehicle Leasing	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
enabled	"""fiat punto lease"""	Fiat Punto	Fiat Punto	eligible	0.99	Phrase	36	204	17.65%	0.61	22.02	1.1	8	0	0	0.00%	0	0	100.00%	100.00%	0.00%
paused	Renault megane convertible leasing	Renault Megane	Megane CC	campaign paused	0.55	Broad	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
paused	"""no deposit car lease"""	No Deposit Deals	No Deposit Deals	paused	0.99	Phrase	67	316	21.20%	0.82	55.25	1.7	9	0	0	0.00%	0	0	84.27%	86.31%	1.87%
