Keyword state	Keyword	Campaign	Ad group	Status	Max. CPC	Match Type	Clicks	Impressions	CTR	Avg. CPC	Cost	Avg. position	Quality score	Converted clicks	Cost / converted click	Click conversion rate	Click Assisted Conv.	Impr. Assisted Conv.	Search Impr. share	Search Exact match IS	Search Lost IS (rank)
paused	cheap van leasing	Vans	Peugeot Van (Partner)	campaign paused	auto: 1.75	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
enabled	bmw 116 lease	BMW	BMW 1series	campaign paused	0.67	Broad	0	0	0.00%	0	0	0	5	0	0	0.00%	0	0	 --	 --	 --
enabled	lease a clio	Renault	Renault Clio	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	8	0	0	0.00%	0	0	 --	 --	 --
paused	work van lease	Vans	Peugeot Van (Partner)	campaign paused	auto: 2.78	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
paused	"""cheap van lease"""	Vans	No Deposit Van Leasing	campaign paused	auto: 2.78	Phrase	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
enabled	"""lease peugeot van"""	Vans	Peugeot Van (Partner)	campaign paused	auto: 2.78	Phrase	0	0	0.00%	0	0	0	8	0	0	0.00%	0	0	 --	 --	 --
paused	Ford Focus 1.6 TDCI	Ford	Ford Focus (1.6 TDCI)	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	3	0	0	0.00%	0	0	 --	 --	 --
paused	hawkins vehicle leasing	Generic Vehicle Leasing	Vehicle Leasing	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	6	0	0	0.00%	0	0	 --	 --	 --
paused	leasing ka	Ford KA	KA (1.2 Edge)	campaign paused	1	Broad	0	0	0.00%	0	0	0	6	0	0	0.00%	0	0	 --	 --	 --
paused	renualt convertible deals	Renault Megane	Megane CC	campaign paused	0.55	Broad	0	0	0.00%	0	0	0	9	0	0	0.00%	0	0	 --	 --	 --
paused	clyde vehicle leasing	Generic Vehicle Leasing	Vehicle Leasing	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
paused	vw fox leasing	New 2 You	New 2 You (Generic)	campaign paused	1	Broad	0	0	0.00%	0	0	0	8	0	0	0.00%	0	0	 --	 --	 --
enabled	porsche leasing	Porsche	Porsche Boxster	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
enabled	"""peugeot van leasing"""	Vans	Peugeot Van (Partner)	campaign paused	auto: 2.78	Phrase	0	0	0.00%	0	0	0	6	0	0	0.00%	0	0	 --	 --	 --
enabled	leasing Citroen C2	CitroenC2	CitroenC2	campaign paused	0.45	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
enabled	"""zero deposit lease"""	No Deposit Deals	No Deposit Deals	eligible	0.8	Phrase	22	158	13.92%	0.71	15.68	1.7	10	0	0	0.00%	0	0	94.05%	90.38%	1.79%
enabled	"""lease focus"""	Ford	Ford Focus (1.6 TDCI)	campaign paused	1.75	Phrase	0	0	0.00%	0	0	0	9	0	0	0.00%	0	0	 --	 --	 --
enabled	cheap lease peugeot	Peugeot 207	Peugeot 308	campaign paused	0.56	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
paused	private vehicle leasing	Generic Vehicle Leasing	Vehicle Leasing	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
enabled	volkswagen caddy lease	VW Transporter	VW Caddy	campaign paused	0.59	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
paused	cars on lease with bad credit	Bad Credit Leasing	Bad Credit	paused	0.99	Broad	0	0	0.00%	0	0	0	9	0	0	0.00%	0	0	 --	 --	 --
enabled	Tiguan lease	Volkswagen Tiguan	Volkswagen Tiguan	campaign paused	0.5	Broad	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
paused	Jaguar premium	Jaguar	Jaguar Premium Luxury	campaign paused	0.45	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
enabled	[leasing range rover]	Range Rover	Range Rover Sport	campaign paused	0.5	Exact	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
enabled	lease Chrysler Sebring	Chrysler Sebring	Chrysler	campaign paused	0.68	Broad	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
enabled	12 months lease	Short term leasing	Short term leasing	campaign paused	0.98	Broad	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
enabled	lease toyota aygo	Toyota	Toyota Aygo Blue	campaign paused	0.9	Broad	0	0	0.00%	0	0	0	8	0	0	0.00%	0	0	 --	 --	 --
enabled	Lease Peugeot 207CC	Peugeot 207	Peugeot 207	campaign paused	0.5	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
enabled	hippo vehicle leasing	Hippo Leasing	Hippo Leasing (Generic)	eligible	0.98	Broad	1815	8301	21.86%	0.26	476.2	1.4	10	64	7.43	3.54%	35	44	91.31%	87.50%	6.43%
enabled	"""lease car with no deposit"""	No Deposit Deals	No Deposit Deals	eligible	0.99	Phrase	20	95	21.05%	0.87	17.48	1.8	9	1	17.48	5.00%	1	2	96.94%	98.75%	3.06%
paused	new vehicle lease	Generic Vehicle Leasing	Vehicle Leasing	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
enabled	used car lease	New 2 You	New 2 You (Generic)	campaign paused	1.1	Broad	0	0	0.00%	0	0	0	8	0	0	0.00%	0	0	 --	 --	 --
paused	vehicle leasing companies	Generic Vehicle Leasing	Vehicle Leasing	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
enabled	[leasing hyundai i10]	Hyundai	Hyundai (i10)	campaign paused	0.99	Exact	0	0	0.00%	0	0	0	8	0	0	0.00%	0	0	 --	 --	 --
paused	white van lease	Vans	No Deposit Van Leasing	campaign paused	auto: 2.78	Broad	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
enabled	lease Subaru Impreza	Subaru Impreza	Subaru Impreza	campaign paused	0.69	Broad	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
enabled	"""lease insignia"""	Vauxhall	Vauxhall Insignia (Petrol)	eligible	1	Phrase	43	177	24.29%	0.69	29.78	1.8	10	0	0	0.00%	0	0	87.19%	85.71%	0.49%
paused	range rover sport	Range Rover	Range Rover Sport	campaign paused	0.5	Broad	0	0	0.00%	0	0	0	6	0	0	0.00%	0	0	 --	 --	 --
enabled	lease Mercedes Benz	Mercedes	Mercedes-Benz M	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	4	0	0	0.00%	0	0	 --	 --	 --
paused	peugeot lease	Peugeot	Peugeot 107	paused	0.99	Broad	0	0	0.00%	0	0	0	5	0	0	0.00%	0	0	 --	 --	 --
paused	Ford Focus 1.8 TDCI Lease	Ford	Ford Focus (1.6 TDCI)	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	4	0	0	0.00%	0	0	 --	 --	 --
paused	van lease no deposit	Vans	Peugeot Van (Partner)	campaign paused	auto: 2.78	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
paused	no deposit car leasing	No Deposit Deals	No Deposit Deals	paused	0.99	Broad	0	0	0.00%	0	0	0	9	0	0	0.00%	0	0	 --	 --	 --
enabled	"""bad credit vehicle leasing"""	Bad Credit Leasing	Bad Credit	eligible	1.3	Phrase	13	104	12.50%	1.01	13.16	2.5	10	1	13.16	7.69%	0	0	86.67%	85.98%	0.83%
enabled	alfa romeo leasing	Alfa Romeo	Alfa Romeo Mito	campaign paused	0.45	Broad	0	0	0.00%	0	0	0	9	0	0	0.00%	0	0	 --	 --	 --
enabled	"""Renault Clio leasing"""	Renault	Renault Clio	campaign paused	0.89	Phrase	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
paused	"""small car lease"""	Chevrolet	Cherolet Spark	campaign paused	1	Phrase	0	0	0.00%	0	0	0	8	0	0	0.00%	0	0	 --	 --	 --
Total - filtered	 --	 --	 --	 --	 --	 --	38584	437906	8.81%	0.64	"24,535.53"	3.9	 --	1412	17.37	3.66%	363	1181	26.17%	51.50%	40.42%
Total - search	 --	 --	 --	 --	 --	 --	39200	459471	8.53%	0.64	"25,142.39"	3.9	 --	1423	17.66	3.63%	367	1187	25.82%	51.67%	38.79%
Total - Display Network	 --	 --	 --	 --	 --	 --	6449	1230343	0.52%	0.28	"1,823.73"	1.1	 --	99	18.41	1.54%	0	0	 --	 --	 --
Total	 --	 --	 --	 --	 --	 --	45649	1689814	2.70%	0.59	"26,966.12"	1.9	 --	1522	17.71	3.34%	367	1187	25.82%	51.67%	38.79%
