Match Type	Search term	Added/Excluded	Campaign	Ad group	Keyword	Clicks	Impressions	CTR	Avg. CPC	Cost	Avg. position	Converted clicks	Cost / converted click	Click conversion rate
broad	new corsa deals	None	Vauxhall Corsa	Corsa No deposit	lease corsa no deposit	1	24	4.17%	0.58	0.58	4.5	0	0	0.00%
broad	2nd hand car leasing	None	Generic Car Leasing	Used Car Leasing	used car lease	3	5	60.00%	0.21	0.63	1	0	0	0.00%
broad (session-based)	square 1 leasing	None	No Deposit Deals	No Deposit Deals	lease car no deposit	1	1	100.00%	0.92	0.92	1	0	0	0.00%
phrase	car lease audi a3 private	None	Audi	Audi A3	"""lease audi a3"""	1	1	100.00%	0.78	0.78	2	0	0	0.00%
broad	car leasing under 90.00	None	Generic Car Leasing	Used Car Leasing	used car leasing	1	1	100.00%	0.34	0.34	3	0	0	0.00%
broad	no deposit private car lease	None	No Deposit Deals	No Deposit Deals	zero deposit car lease	1	1	100.00%	0.51	0.51	1	0	0	0.00%
phrase	hippo car leasing uk	None	Hippo Leasing	Hippo Leasing (Generic)	hippo car leasing	2	3	66.67%	0.14	0.29	1	1	0.29	50.00%
broad	personal contract lease deals hippo	None	Hippo Leasing	Hippo Leasing (Generic)	hippo car lease	1	1	100.00%	0.14	0.14	1	0	0	0.00%
broad	cheapest used cars to lease 2015	None	Generic Car Leasing	Used Car Leasing	used car for lease	1	1	100.00%	0.17	0.17	2	0	0	0.00%
broad	pco vauxhall insignia hire	None	Vauxhall	Vauxhall Insignia (Petrol)	vauxhall insignia lease	1	1	100.00%	0.98	0.98	2	0	0	0.00%
broad	no deposit guaranteed car finance	None	No Deposit Deals	No Deposit Deals	no deposit cars	1	2	50.00%	0.89	0.89	8	0	0	0.00%
broad	lease used cars uk	None	No Deposit Deals	No Deposit Deals	cheap car leasing deals	1	1	100.00%	0.66	0.66	2	0	0	0.00%
exact	leasing vauxhall astra	Added	Vauxhall Astra	Vauxhall Astra (Diesel)	"""leasing vauxhall astra"""	3	7	42.86%	0.51	1.52	2.7	0	0	0.00%
broad	cheapest lease cars	None	Generic Car Leasing	Used Car Leasing	used car leasing deals	4	53	7.55%	0.3	1.19	7.4	0	0	0.00%
broad	car no depost	None	No Deposit Deals	No Deposit Deals	lease a car no deposit	1	1	100.00%	0.48	0.48	2	0	0	0.00%
broad	automatic car leasing	None	Generic Car Leasing	Used Car Leasing	used car leasing	1	3	33.33%	0.76	0.76	8	0	0	0.00%
broad	car lease bad crecit	None	Bad Credit Leasing	Bad Credit	bad credit car leasing	1	1	100.00%	1	1	2	1	1	100.00%
broad	best car leasing deals 2015	None	No Deposit Deals	No Deposit Deals	cheap car lease no deposit	1	1	100.00%	0.41	0.41	1	0	0	0.00%
